,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
3667,Recurso,3AQP,415.36,407.44,399.52,401.72,405.68,376.64,397.32,394.68,408.76,420.64,422.84,422.4,430.76,438.24,378.84,309.32,425.04,423.72,434.28,437.36,410.52,393.8,404.36,414.48,2024-09-10
3948,Recurso,3AQP,418.44,398.2,371.8,384.56,381.92,376.2,400.4,403.92,275.0,,,,53.24,438.24,448.8,394.24,343.64,388.52,352.0,334.84,357.28,377.08,396.88,396.44,2024-09-11
4228,Recurso,3AQP,395.12,393.8,372.68,363.0,368.72,371.8,375.76,382.8,387.2,418.0,421.52,392.48,414.48,391.6,392.92,392.92,393.36,386.76,359.48,365.2,366.08,375.76,376.2,375.76,2024-09-12
4510,Recurso,3AQP,377.08,377.96,377.96,378.4,387.2,416.68,392.04,376.2,385.0,394.24,393.36,363.88,173.8,51.92,322.08,200.64,325.6,219.12,244.2,326.92,319.88,308.44,250.8,275.88,2024-09-13
4793,Recurso,3AQP,289.08,294.8,294.36,307.56,308.44,323.84,381.48,282.48,287.76,344.08,387.2,355.08,381.92,309.76,270.6,350.24,199.32,291.72,344.96,352.0,264.88,304.48,320.76,320.76,2024-09-14
5072,Recurso,3AQP,323.4,322.08,304.92,280.72,263.12,282.48,281.16,288.2,359.48,352.44,354.2,362.12,387.64,327.8,361.24,403.04,358.16,350.24,359.92,366.52,346.72,363.88,367.4,367.84,2024-09-15
5353,Recurso,3AQP,367.84,366.52,359.04,321.2,348.92,379.28,372.68,303.16,355.52,356.84,381.48,410.52,439.56,353.76,377.08,343.64,373.56,339.68,322.52,384.12,381.92,371.8,361.24,363.0,2024-09-16
5641,Recurso,3AQP,381.48,322.52,288.2,387.64,393.8,395.56,316.8,23.32,,,,,,,,,,213.4,297.44,324.72,316.8,290.4,308.44,325.16,2024-09-17
5928,Recurso,3AQP,323.4,320.76,305.8,298.32,296.56,304.48,263.56,93.72,192.28,302.28,123.2,330.0,353.32,326.92,293.04,326.04,320.32,301.4,301.84,303.6,304.92,311.96,322.08,326.48,2024-09-18
6207,Recurso,3AQP,326.92,325.16,322.52,323.4,331.76,368.28,418.44,326.48,333.08,334.4,336.6,345.84,356.4,297.88,237.6,310.64,293.92,253.44,274.56,257.4,270.16,137.72,269.72,290.84,2024-09-19
6483,Recurso,3AQP,,574.2,562.32,398.2,335.72,380.16,402.6,331.76,370.48,275.0,335.72,305.8,332.64,337.92,337.48,335.72,326.92,322.96,323.84,317.68,312.84,315.04,321.2,320.32,2024-09-20
6762,Recurso,3AQP,318.12,301.4,295.24,303.6,297.88,288.2,290.84,297.44,295.24,296.56,297.44,301.4,311.52,316.8,390.72,343.2,280.28,323.84,330.88,290.4,311.52,314.6,300.08,293.48,2024-09-21
7041,Recurso,3AQP,275.44,283.36,283.36,284.24,288.2,330.44,329.12,315.04,284.68,301.4,330.0,480.92,426.36,412.72,369.6,291.72,303.16,330.0,341.88,272.8,276.76,287.76,337.92,337.48,2024-09-22
7319,Recurso,3AQP,336.6,335.72,319.0,245.96,251.24,273.24,315.04,318.12,324.28,337.04,360.8,385.44,375.76,320.32,328.68,305.8,326.92,292.16,290.84,252.12,303.6,263.56,272.36,266.2,2024-09-23
7601,Recurso,3AQP,267.96,267.52,287.32,278.96,252.56,228.8,304.48,258.28,274.56,309.32,310.64,310.64,269.28,324.72,274.56,289.52,270.6,295.24,290.4,253.44,303.6,295.24,277.2,278.08,2024-09-24
7878,Recurso,3AQP,278.52,278.96,278.96,278.52,282.04,288.2,259.6,267.08,277.64,285.56,269.72,277.64,277.64,289.08,319.44,317.68,314.16,311.08,314.16,320.76,325.6,327.36,338.36,360.36,2024-09-25
8158,Recurso,3AQP,358.16,358.6,356.84,336.6,327.36,302.72,262.68,344.08,342.32,364.76,394.68,399.08,250.8,,,19.36,487.08,426.8,383.24,359.92,357.72,337.48,336.6,338.8,2024-09-26
